beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Honey Dew","Fuller's Brewery","Golden Ale",5,18,,,,,,,,,"2014-04-15 15:21:26",https://untappd.com/c/79917665,https://untappd.com/beer/22286,https://untappd.com/brewery/3296,England,London,"Greater London",,,,79917665,22286,3296,,3.31,3.32,,0,0
"Big Daddy IPA","Speakeasy Ales & Lagers","IPA - American",6.5,60,,,,,,,,,"2014-04-15 15:22:05",https://untappd.com/c/79917720,https://untappd.com/beer/917,https://untappd.com/brewery/1177,"United States","San Francisco",CA,,,,79917720,917,1177,,3.59,3.59,,0,0
Indica,"Cervejaria Colorado","IPA - English",7,45,,,,,,,,,"2014-04-15 15:23:24",https://untappd.com/c/79917823,https://untappd.com/beer/7478,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,,79917823,7478,4804,,3.68,3.68,,0,0
"3 Lobos Pele Vermelha","Cervejaria Backer","IPA - American",7,53,,,,,,,,,"2014-04-15 15:23:45",https://untappd.com/c/79917859,https://untappd.com/beer/78121,https://untappd.com/brewery/8979,Brazil,"Belo Horizonte","Minas Gerais",,,,79917859,78121,8979,,3.64,3.64,,0,0
"Waggle Dance","Eagle Brewery (formerly Charles Wells)","Honey Beer",5,0,,,,,,,,,"2014-04-15 15:25:23",https://untappd.com/c/79918025,https://untappd.com/beer/20317,https://untappd.com/brewery/1348,England,Bedford,Bedford,,,,79918025,20317,1348,,3.26,3.27,,0,0
Trooper,"Robinsons Brewery","Extra Special / Strong Bitter",4.7,35,,,,,,,,,"2014-04-19 13:04:30",https://untappd.com/c/80682880,https://untappd.com/beer/332969,https://untappd.com/brewery/2908,England,Stockport,"Greater Manchester",,,,80682880,332969,2908,,3.37,3.37,,0,0
Cauim,"Cervejaria Colorado","Pilsner - Other",4.5,16,,,,,,,,,"2014-04-19 13:04:57",https://untappd.com/c/80682934,https://untappd.com/beer/14181,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,,80682934,14181,4804,,3.42,3.42,,0,0
"Red Ale","Way Beer","Red Ale - Irish",5.8,28,,,,,,,,,"2014-04-19 13:05:30",https://untappd.com/c/80683044,https://untappd.com/beer/110573,https://untappd.com/brewery/18116,Brazil,Pinhais,Paraná,,,,80683044,110573,18116,,3.58,3.58,,0,0
"Cream Porter","Way Beer","Porter - Other",5.4,21,,,,,,,,,"2014-04-19 13:06:02",https://untappd.com/c/80683084,https://untappd.com/beer/135401,https://untappd.com/brewery/18116,Brazil,Pinhais,Paraná,,,,80683084,135401,18116,,3.57,3.58,,0,0
"India Pale Ale",Diabólica,"IPA - English",6.66,67,,,,,,,,,"2014-04-19 13:06:18",https://untappd.com/c/80683115,https://untappd.com/beer/123313,https://untappd.com/brewery/19726,Brazil,"Treze Tílias","Santa Catarina",,,,80683115,123313,19726,,3.64,3.64,,0,0
"Wild River","Fuller's Brewery","Pale Ale - American",4.2,55,,,,,,,,,"2014-04-19 13:06:27",https://untappd.com/c/80683138,https://untappd.com/beer/168569,https://untappd.com/brewery/3296,England,London,"Greater London",,,,80683138,168569,3296,,3.42,3.43,,0,0
Cristal,"Baden Baden","Pilsner - Other",5,10,,,,,,,,,"2014-04-19 13:06:37",https://untappd.com/c/80683171,https://untappd.com/beer/19754,https://untappd.com/brewery/5437,Brazil,"Campos do Jordão","São Paulo",,,,80683171,19754,5437,,3.34,3.34,,0,0
"Belgian Ale","Dado Bier","Belgian Strong Golden Ale",8.5,22,,,,,,,,,"2014-04-19 13:07:04",https://untappd.com/c/80683246,https://untappd.com/beer/20246,https://untappd.com/brewery/5717,Brazil,"Porto Alegre","Rio Grande do Sul",,,,80683246,20246,5717,,3.45,3.47,,0,0
"Velhas Virgens Mr. Brownie","Cervejaria Invicta","Brown Ale - English",5,0,,,,,,,,,"2014-04-19 13:07:29",https://untappd.com/c/80683298,https://untappd.com/beer/437282,https://untappd.com/brewery/27854,Brazil,"Ribeirão Preto","São Paulo",,,,80683298,437282,27854,,3.51,3.54,,0,0
"London IPA","Meantime Brewing Company","IPA - English",7.4,65,,,,,,,,,"2014-04-19 13:09:12",https://untappd.com/c/80683564,https://untappd.com/beer/424,https://untappd.com/brewery/844,England,"City of London",London,,,,80683564,424,844,,3.38,3.38,,0,0
"India Pale Ale","Fuller's Brewery","IPA - English",5.3,50,,,,,,,,,"2014-04-19 13:09:49",https://untappd.com/c/80683640,https://untappd.com/beer/25980,https://untappd.com/brewery/3296,England,London,"Greater London",,,,80683640,25980,3296,,3.38,3.38,,1,0
"1000 IBU","Cervejaria Invicta","IPA - Imperial / Double",8,1000,,,,,,,,,"2014-04-19 13:10:37",https://untappd.com/c/80683762,https://untappd.com/beer/446677,https://untappd.com/brewery/27854,Brazil,"Ribeirão Preto","São Paulo",,,,80683762,446677,27854,,3.95,3.95,,1,0
"Smoked Porter","Dama Bier","Smoked Beer",6.5,45,,,,,,,,,"2014-04-19 13:48:13",https://untappd.com/c/80690560,https://untappd.com/beer/510852,https://untappd.com/brewery/7619,Brazil,Piracicaba,"São Paulo",,,,80690560,510852,7619,,3.79,3.78,,1,0
"Vedett Extra White","Duvel Moortgat","Wheat Beer - Witbier",4.7,4,,,,,,,,,"2014-04-29 19:20:13",https://untappd.com/c/82803172,https://untappd.com/beer/11097,https://untappd.com/brewery/167,Belgium,Puurs,Vlaanderen,,,,82803172,11097,167,,3.52,3.52,,0,0
"Belgian Ale","Dado Bier","Belgian Strong Golden Ale",8.5,22,,,,,,,,,"2014-05-16 12:48:47",https://untappd.com/c/86150833,https://untappd.com/beer/20246,https://untappd.com/brewery/5717,Brazil,"Porto Alegre","Rio Grande do Sul",,,,86150833,20246,5717,,3.45,3.47,,1,0
Baca,"Cerveja Coruja","Lager - American Amber / Red",5.5,40,,,,,,,,,"2014-05-20 00:11:35",https://untappd.com/c/87133992,https://untappd.com/beer/164284,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",,,,87133992,164284,51729,,3.45,3.47,,1,0
"Original (TAP07)","Schneider Weisse G. Schneider & Sohn",Hefeweizen,5.4,14,,,,,,,,4,"2014-05-21 21:42:42",https://untappd.com/c/87384375,https://untappd.com/beer/11982,https://untappd.com/brewery/1023,Germany,Kelheim,Bayern,,,,87384375,11982,1023,,3.68,3.68,,1,0
"FunHouse Belgian Blond","Seasons Craft Brewery","Belgian Blonde",6,20,,,,,,,,,"2014-05-21 21:43:01",https://untappd.com/c/87384487,https://untappd.com/beer/88011,https://untappd.com/brewery/17236,Brazil,"Porto Alegre","Rio Grande do Sul",,,,87384487,88011,17236,,3.81,3.8,,1,0
